Nama,Komentar,Waktu,Likes,Reply Count
@hijetsyalom1321,lainyya sibuk menyerang pribadi. tetapi prabowo benar benar dewasa dalam bernegara.    jiwa anda besar pak. saya yakin ini tahun anda,2024-01-08T04:48:33Z,6,0
@brammamauri6433,Ganjarbwi🎉🎉🎉🎉❤❤❤❤,2024-01-08T04:47:04Z,0,0
@sardisahabuddin1817,Klu anda semua ingin berubah hanya satu jalan ialah coblos AMIN1 anies baswedan & Muhaimin iskandar presiden & wakil presiden RI 2024 ini Aamiin ya rabbal alaamiin🤲🤲🤲✊✊,2024-01-08T04:32:42Z,0,0
@frengkianari1043,Aku tetap Prabowo gibran,2024-01-08T04:26:52Z,1,0
@azzamuu,"01, 02, 03 fak lah semua, udah paling bener indonesia jadi negara anarki aja, bubarin pemerintahan biar semuanya berlaku seenaknya. lagipula mau siapapun presidennya kkn di indonesia masih berjalan kok, jadi mungkin kalau gak negara anarki bisa dicoba negara monarki biar gaada yang keberatan kalau ada politik dinasti ataupun praktek kkn.",2024-01-08T03:54:20Z,0,0
@andikaatmaja-iy3mp,Menurut saya memang anis kayanya keren,2024-01-08T03:20:11Z,1,0
@kadiyonokadiyono5063,Good pak anis,2024-01-08T03:00:22Z,0,0
@kadiyonokadiyono5063,"Pak prabowo kurang tanggap ,kurang cerdas jauh untuk seorang presiden",2024-01-08T02:59:18Z,1,0
@damangliman4355,anis pintar omong doang hasil nya 000,2024-01-08T02:24:54Z,2,0
@TomyGame-ip2uw,Wooyyyyy kalian smua ngapain repot2 menilai masalh debat kalian nilai aj besok klw udh jadi bener gak apa yg di debat kan di lakukan oleh masing2 capres,2024-01-08T02:16:21Z,0,0
@TomyGame-ip2uw,"Pak prabowo memang tak pandai mengarang kata2 bahkan memang saya akui sllu kalah dalam debat karna pak prabowo tidak suka menebar janji2 dia langsung membuktikan kpd rakyat tnp hrus mengobral janji2 mnis 
Itu yg saya suka dri bpk prabowo senang menebar bukti tanpa mengobral janji 
Hebatt kau pak semoga alloh memenuhi sgl hajat mu pak,,..
Org yg paling ikhlas pda rakyat menurut alm kiayi jombang gus dur✌️✌️",2024-01-08T02:13:08Z,3,0
@rishicrk,PRABOWO ALL IN 🔥🔥🔥🔥🔥🔥,2024-01-08T02:08:55Z,3,0
@duduwongsolo,dari debat semalam kita tau siapa yg paling tenang jiwa mentalnya,2024-01-08T02:07:15Z,4,0
@yusufarroyyan,Di menit 5:05 yg g pro prabowo udh ga ada kemana?,2024-01-08T01:34:06Z,0,0
@AmirGaming544,Gue baca komen yang banyak cakap pasti pendukung anis ... Seperti anis juga banyak cakap ...sama kek pendukung nya ... Semua presiden siapapun yang jadi ... Ujung ujung nya sama ja ...,2024-01-08T01:05:58Z,1,0
@nungkynurhayati9635,AMIN untuk perubahan,2024-01-08T01:04:13Z,3,0
@ANIMETV-sh3pu,wawdaw,2024-01-08T00:57:05Z,0,0
@hariyonoyono9943,PS waktunya istirahat lebih baik jadi engusaha pa pa,2024-01-08T00:53:33Z,1,0
@gamealkaff8449,prabowo kesulitan sndiri atas kelakuannya mengatakan data2 kedua cawaores tidak valid....rasakan itu,2024-01-08T00:23:23Z,3,0
@mochi_flora150,"Ganjar Mahfud pasangan yg ditakuti oleh para KORUPTOR dan PERAMPOK NKRI..smg menjadi pemimpin Bangsa Indonesia , membawa negara kita melesat menjadi negara Maju,kuat, dan disegani di dunia..tapi jangan jadi anak Mami Partai ya...kalau kalian tdk terpilih bukan kalian tdk berkualitas tapi justru diantara semua calon kalian lah yg punya level paling tinggi..tapi karena Partai yg mengusung kalian yg membuat kami Sebal..",2024-01-08T00:15:57Z,3,0
@ulinnuha6989,Prabowo memang kurang jago untuk debat tapi saya yakin beliau akan memajukn indonesia ✌️✌️✌️prabowo pilihanku,2024-01-07T23:44:33Z,17,0
@user-wz7rn6dp4r,Tetap Prabowo gibran,2024-01-07T23:40:32Z,1,0
@user-eb8vv5mf6h,Si anis pilgub Dki Modal jualan ayat ancur ni negara 😂,2024-01-07T23:33:27Z,0,2
@elsajulianti2154,Apaansi gajelas dah,2024-01-08T09:04:20Z,0,
@muhamadamri9386,Udah makan ngab?,2024-01-08T09:54:55Z,0,
@user-mq3ii8rf9z,GAMA memang buah yg tumbuh menjadi MATANG. Jadilah indonesia Maju.,2024-01-07T23:32:20Z,1,0
