author,text
@oniimuhammad2284,Ganjar Mahfud sat.s3t🥰🥰🥰🥰🥰
@oniimuhammad2284,Ganjar mahfud is de bes🥰🥰🥰🥰
@oniimuhammad2284,Ganjar mahfud paket lengkap
@fajaryudha9533,anis=sinis
@user-qw1bk7uy3x,Yakali kelamahan negara diungkap ke publik😂
@m2ip313,2vs 1
@ghoeztgaming,"yg nyentil pertama adl prabowo dengan menyisipkan kata2 yg digunakan menyeerang anis di skala besar sosmed ""cuma ngomong saja"", ""kalo cuma merangkai kata indah"" dll, dan terus saja menyisipkan kata2 tersebut di setiap penyampaian tanggapan prabowo. ya jelas saja anis terus menyerang prabowo karena satu alasan tersebut dan juga lebih pentinglagi tema nya PERTAHANAN ya jelas yg dicecar pertanyaan dan klarifikasi ya prabowo sebagai menhan aktif bberapa thun ini.."
@aria1899,Emang boleh sefakta ini.
@user-gu6sn7dy8m,Indonesia butuh perubahan
@dhipapradipto5120,Pak Prabowo dirujak abis sama Pak Ganjar & Pak Anies
@bangbro5813,"debat ini bagus, memperlihatkan Paslon 1 & 3 memang tidak punya pemahaman dan wawasan yg luas tentang pertahanan negara, pertanyaan2 nya hanya menyerang pribadi, tdk berbobot."
@AnggrainiSR12,"Debat capres pertama, tautannya mana oom?"
@yuutraaangkangan2625,Siapun pemimpinya yg baik jujur dn tulus pasti di rebut dn di jatuh kan.. .
@massiveblackwood,Prabowo sepertinya bukan org yg suka baca
@virawidya4582,"bener2 sakit hati bngd denger perkataan beliau. Kalo ada ralyat kehilangan tolonglah kinerja polisi prosesur harus lebih baik di cari jamgan pesimis dulu "" kalo motor hilang 90% ga balik mbk, karena udah di bawa ke pulau Madura"" lah anjir itu tugas kalian masa udah tau biang keroknya diem aja pasrah"
@nyanggongtorus4659,Anis 01 tetap terbaik
@mitzi1548,"mau nanya buat yang milih 02, program dan janji apa yg bikin kalian yakin milih beliau? buzzer minggir dulu ga usah jawab, lu ga diajak"
